dataset,column,family,data_type,null_count,null_pct,exact_unique_nonnull,min,max,mean,median,std,top1_value,top1_share_of_nonnull,mask_group,fraud_rate_if_null,fraud_rate_if_present,auc_nonnull,treatment,treatment_reason,description,potential_feature_role,v_redundant_with_at_r098
ieee,card6,card,string,1571,0.2660277034578521,4,,,,,,debit,74.69629131584175,MG05,2.48249522597072,3.5017123142304603,,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Card type (debit / credit / charge card / debit or credit),categorical-low-card,
ieee,addr1,addr,double,65706,11.12642666034477,332,100.0,540.0,290.73379392341195,299.0,101.74097483121874,299.0,8.828505775159384,MG09,11.781268072930937,2.462111829645183,0.512328635626167,3_KEEP_CATEGORICAL,High-cardinality: frequency encode / train-only target-encode; never one-hot,"Address attribute (masked, region-like; categorical)",categorical-mid-card,
ieee,addr2,addr,double,65706,11.12642666034477,74,10.0,102.0,86.80063029453122,87.0,2.6906209227421143,87.0,99.17059489286136,MG09,11.781268072930937,2.462111829645183,0.4924983463883691,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,"Address attribute (masked, country-like; categorical); 87 = 99.2% of non-null",categorical (dominant level),
ieee,dist1,dist,double,352271,59.6523520845328,2651,0.0,10286.0,118.50218030881064,8.0,371.87124612860094,0.0,8.320008058119184,MG28,4.515841497029276,1.9956435793158152,0.542875848260509,2_KEEP_MISSING_INDICATOR,59.7% null; fraud rate 4.52% if null vs 2.00% if present (2.5pp gap). Use block-level indicator (MG28).,Distance-type feature (masked),numeric-continuous,
ieee,dist2,dist,double,552913,93.62837403054831,1751,0.0,11623.0,231.85542296754988,37.0,529.0464632687305,7.0,15.1141467563186,MG63,3.0623262610935176,9.915751986605365,0.4902387856477698,2_KEEP_MISSING_INDICATOR,93.6% null; fraud rate 3.06% if null vs 9.92% if present (6.9pp gap). Use block-level indicator (MG63).,Distance-type feature (masked),numeric-continuous,
ieee,P_emaildomain,email,string,94456,15.99485216920107,59,,,,,,gmail.com,46.03151885567767,MG15,2.953756246294571,3.602817264818055,,3_KEEP_CATEGORICAL,High-cardinality: frequency encode / train-only target-encode; never one-hot,Purchaser email domain,categorical-high-card (domain / provider-group / TLD splits),
ieee,R_emaildomain,email,string,453249,76.75161716395164,60,,,,,,gmail.com,41.62472412612626,MG41,2.081857875031164,8.177520740616647,,3_KEEP_CATEGORICAL,High-cardinality: frequency encode / train-only target-encode; never one-hot,Recipient email domain,categorical-high-card,
ieee,C1,C,double,0,0.0,1657,0.0,4685.0,14.092457750533413,1.0,133.56890490878058,1.0,53.64429166525553,MG00,,,0.6131052317846492,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C2,C,double,0,0.0,1216,0.0,5691.0,15.26973448030616,1.0,154.66876825957925,1.0,53.554543299353135,MG00,,,0.6288810034959984,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C3,C,double,0,0.0,27,0.0,26.0,0.0056439868594845,0.0,0.1505354943609003,0.0,99.58868154570392,MG00,,,0.4979941524888765,1_KEEP_IMPUTE,Near-constant (99.59% one value) BUT minority rows n=2429 have fraud rate 0.21% (0.06x base) - keep; consider binary 'is_minority' flag.,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C4,C,double,0,0.0,1260,0.0,2253.0,4.092185118704914,0.0,68.8484002661897,0.0,76.52030345107868,MG00,,,0.6876954862768905,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C5,C,double,0,0.0,319,0.0,349.0,5.57152606089342,0.0,25.786953988168765,0.0,63.06685406577032,MG00,,,0.3575823824130461,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C6,C,double,0,0.0,1328,0.0,2253.0,9.07108239916009,1.0,71.5084068420218,1.0,57.837233718291735,MG00,,,0.5732415144875368,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C7,C,double,0,0.0,1103,0.0,2255.0,2.848477664510448,0.0,61.72725125283294,0.0,88.58705591492533,MG00,,,0.6474387200047708,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C8,C,double,0,0.0,1253,0.0,3331.0,5.144574457276391,0.0,95.37849289369596,0.0,75.80638060080604,MG00,,,0.6831832044131763,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C9,C,double,0,0.0,205,0.0,210.0,4.480240119212924,1.0,16.67488258789849,1.0,38.76756866596674,MG00,,,0.3599718298954822,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C10,C,double,0,0.0,1231,0.0,3257.0,5.240342737155824,0.0,95.58136203522032,0.0,76.78429911606327,MG00,,,0.6779219540533424,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C11,C,double,0,0.0,1476,0.0,3188.0,10.241521319470316,1.0,94.33621195740332,1.0,65.98909472686016,MG00,,,0.6044810745514735,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C12,C,double,0,0.0,1199,0.0,3188.0,4.076226843228231,0.0,86.66614429534246,0.0,82.83926575676499,MG00,,,0.663460432640351,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C13,C,double,0,0.0,1597,0.0,2918.0,32.539917702441834,3.0,129.36473491456772,1.0,33.755037762048296,MG00,,,0.3844938978207095,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,C14,C,double,0,0.0,1108,0.0,1429.0,8.29521454939547,1.0,49.54422047044205,1.0,54.219697226267485,MG00,,,0.410511916048749,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Counting feature (masked; Vesta: e.g. number of addresses linked to the card),numeric-count; heavy tail -> log1p,
ieee,D1,D,double,1269,0.2148880685474311,641,0.0,640.0,94.34756843625428,3.0,157.66025274505245,0.0,47.53839914063309,MG03,3.624901497241922,3.498729786464972,0.4050319073814246,1_KEEP_IMPUTE,Negligible sparsity; median impute (or leave NaN for tree models).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D2,D,double,280797,47.54919226470688,641,0.0,640.0,169.56323145317248,97.0,177.31557871121606,0.0,4.8827576410120646,MG22,4.555960355701807,2.540816095924686,0.296048974641595,2_KEEP_MISSING_INDICATOR,47.5% null; fraud rate 4.56% if null vs 2.54% if present (2.0pp gap). Use block-level indicator (MG22).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D3,D,double,262878,44.51485081450876,649,0.0,819.0,28.34334771807533,8.0,62.38462617323588,0.0,22.30774395566163,MG19,4.201188383965185,2.9356470997552355,0.2988713425642457,1_KEEP_IMPUTE,44.5% null; missingness weakly informative (1.3pp).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D4,D,double,168922,28.604666915026925,808,-122.0,869.0,140.0024405978872,26.0,191.0965469031113,0.0,39.50756371881656,MG16,3.608766176104948,3.4550232675075545,0.4101552646394656,1_KEEP_IMPUTE,28.6% null; missingness weakly informative (0.2pp).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D5,D,double,309841,52.46740271615809,688,0.0,819.0,42.33596485915518,10.0,88.99998580657855,0.0,23.29078479082576,MG24,3.157425905545102,3.876038033623205,0.2546057112728402,1_KEEP_IMPUTE,52.5% null; missingness weakly informative (0.7pp).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D6,D,double,517353,87.60676668811597,829,-83.0,873.0,69.80571686228429,0.0,143.6682714175787,0.0,62.55482531050596,MG56,2.5021600338646923,10.545588697446268,0.5154626303496183,2_KEEP_MISSING_INDICATOR,87.6% null; fraud rate 2.50% if null vs 10.55% if present (8.0pp gap). Use block-level indicator (MG56).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D7,D,double,551623,93.40992989467269,597,0.0,843.0,41.63894955931855,0.0,99.74198204492876,0.0,54.30788601382429,MG62,2.6962255018373056,14.877816892360665,0.352183143190025,2_KEEP_MISSING_INDICATOR,93.4% null; fraud rate 2.70% if null vs 14.88% if present (12.2pp gap). Use block-level indicator (MG62).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D8,D,double,515614,87.31229044603245,12353,0.0,1707.7916259765625,146.0581076468787,37.875,231.6622940129501,0.7916659712791443,1.8031124042388489,MG54,2.489459169068334,10.446307022929291,0.3144228031160431,5_NEEDS_INVESTIGATION,"Non-integer; null mask identical to D9/id_09/id_10 (74,926 rows, all inside identity rows) - coupling to identity table unexplained",Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D9,D,double,515614,87.31229044603245,24,0.0,0.9583330154418944,0.5610571265961662,0.6666659712791443,0.3168774510735865,0.7916659712791443,7.1910952139444255,MG54,2.489459169068334,10.446307022929291,0.4768725704949436,5_NEEDS_INVESTIGATION,Range 0-0.958 (fraction-like); mask identical to D8/id_09/id_10,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D10,D,double,76022,12.873302401192127,818,0.0,876.0,123.9821366793776,15.0,182.61504707262927,0.0,43.13357355816512,MG10,5.111678198416248,3.260721685149985,0.3658296487757713,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.9pp).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D11,D,double,279287,47.29349409015477,676,-53.0,670.0,146.6214654959149,43.0,186.0423231532614,0.0,36.0738691675261,MG21,5.212201069151088,1.9617481598570936,0.4305065072292387,2_KEEP_MISSING_INDICATOR,47.3% null; fraud rate 5.21% if null vs 1.96% if present (3.3pp gap). Use block-level indicator (MG21).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D12,D,double,525823,89.04104717715988,635,-83.0,648.0,54.03753264211876,0.0,124.27359823799414,0.0,66.06610318772502,MG58,2.484676402515676,11.74034643138588,0.5422553461016013,2_KEEP_MISSING_INDICATOR,89.0% null; fraud rate 2.48% if null vs 11.74% if present (9.3pp gap). Use block-level indicator (MG58).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D13,D,double,528588,89.50926270870728,577,0.0,847.0,17.901294550619834,0.0,67.61387932254107,0.0,78.83522727272727,MG60,2.615647725638872,11.03596332644628,0.488365254237052,2_KEEP_MISSING_INDICATOR,89.5% null; fraud rate 2.62% if null vs 11.04% if present (8.4pp gap). Use block-level indicator (MG60).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D14,D,double,528353,89.46946862193924,802,-193.0,878.0,57.72444401563028,0.0,136.31135429594585,0.0,72.79013298599386,MG59,2.5456465658376124,11.598887227233988,0.5495512880769907,2_KEEP_MISSING_INDICATOR,89.5% null; fraud rate 2.55% if null vs 11.60% if present (9.1pp gap). Use block-level indicator (MG59).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,D15,D,double,89113,15.090087038981272,859,-83.0,879.0,163.744578971615,52.0,202.72645775113017,0.0,34.75002343312187,MG13,4.7984020288846745,3.2680729198866434,0.3720707762499169,1_KEEP_IMPUTE,15.1% null; missingness weakly informative (1.5pp).,Timedelta-type feature (masked; Vesta: e.g. days since previous transaction),numeric-timedelta,
ieee,M1,M,string,271100,45.90713584177194,2,,,,,,T,99.99217380415728,MG20,5.282552563629657,1.98534936138242,,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Match flag (masked; Vesta: e.g. name/address match),categorical-binary (T/F) or M0/M1/M2,
ieee,M2,M,string,271100,45.90713584177194,2,,,,,,T,89.36513899323816,MG20,5.282552563629657,1.98534936138242,,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Match flag (masked; Vesta: e.g. name/address match),categorical-binary (T/F) or M0/M1/M2,
ieee,M3,M,string,271100,45.90713584177194,2,,,,,,T,78.80384422739795,MG20,5.282552563629657,1.98534936138242,,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Match flag (masked; Vesta: e.g. name/address match),categorical-binary (T/F) or M0/M1/M2,
ieee,M4,M,string,281444,47.658753005723575,3,,,,,,M0,63.54174754768745,MG23,1.8572078282002813,4.993917747237105,,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Match flag (masked; Vesta: e.g. name/address match),categorical-binary (T/F) or M0/M1/M2,
ieee,M5,M,string,350482,59.34940901547736,2,,,,,,F,55.191245449016485,MG27,3.735997854383392,3.152988027893259,,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Match flag (masked; Vesta: e.g. name/address match),categorical-binary (T/F) or M0/M1/M2,
ieee,M6,M,string,169360,28.678836319300977,2,,,,,,F,54.09943492093642,MG18,7.06837505904582,2.063725722968802,,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Match flag (masked; Vesta: e.g. name/address match),categorical-binary (T/F) or M0/M1/M2,
ieee,M7,M,string,346265,58.63531682866529,2,,,,,,F,86.5311636475284,MG26,4.576263844165595,1.971957834407942,,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Match flag (masked; Vesta: e.g. name/address match),categorical-binary (T/F) or M0/M1/M2,
ieee,M8,M,string,346252,58.633115453652586,2,,,,,,F,63.552446292900186,MG25,4.576435659577418,1.9718528949436729,,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Match flag (masked; Vesta: e.g. name/address match),categorical-binary (T/F) or M0/M1/M2,
ieee,M9,M,string,346252,58.633115453652586,2,,,,,,T,84.18587896253602,MG25,4.576435659577418,1.9718528949436729,,3_KEEP_CATEGORICAL,Low-cardinality: label/one-hot; encode NaN as explicit MISSING level,Match flag (masked; Vesta: e.g. name/address match),categorical-binary (T/F) or M0/M1/M2,
ieee,V1,V,double,279287,47.29349409015477,2,0.0,1.0,0.9999453820525424,1.0,0.0073901937956558,1.0,99.99453820525424,MG21,5.212201069151088,1.9617481598570936,0.5000278554270565,4_DROP_LOW_INFO,"Near-constant (99.995% one value); only 17 minority rows. Its missingness is captured by the block indicator, not by this column.",Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V2,V,double,279287,47.29349409015477,9,0.0,8.0,1.0452043835722065,1.0,0.2401325024611581,1.0,96.02927521983725,MG21,5.212201069151088,1.9617481598570936,0.5123541599117439,2_KEEP_MISSING_INDICATOR,47.3% null; fraud rate 5.21% if null vs 1.96% if present (3.3pp gap). Use block-level indicator (MG21).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V3,V,double,279287,47.29349409015477,10,0.0,9.0,1.0780747494803262,1.0,0.3208893094595135,1.0,93.35910015325152,MG21,5.212201069151088,1.9617481598570936,0.538363305261547,2_KEEP_MISSING_INDICATOR,47.3% null; fraud rate 5.21% if null vs 1.96% if present (3.3pp gap). Use block-level indicator (MG21).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V4,V,double,279287,47.29349409015477,7,0.0,6.0,0.8464560984151157,1.0,0.4400525797738079,1.0,79.19602381342509,MG21,5.212201069151088,1.9617481598570936,0.5145924455298236,2_KEEP_MISSING_INDICATOR,47.3% null; fraud rate 5.21% if null vs 1.96% if present (3.3pp gap). Use block-level indicator (MG21).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V5,V,double,279287,47.29349409015477,7,0.0,6.0,0.8769907438643162,1.0,0.4759017318258941,1.0,78.03394666075508,MG21,5.212201069151088,1.9617481598570936,0.5385033115079766,2_KEEP_MISSING_INDICATOR,47.3% null; fraud rate 5.21% if null vs 1.96% if present (3.3pp gap). Use block-level indicator (MG21).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V6,V,double,279287,47.29349409015477,10,0.0,9.0,1.0456863066380082,1.0,0.2393845442278775,1.0,95.94349291412452,MG21,5.212201069151088,1.9617481598570936,0.5067536669280586,2_KEEP_MISSING_INDICATOR,47.3% null; fraud rate 5.21% if null vs 1.96% if present (3.3pp gap). Use block-level indicator (MG21).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V7,V,double,279287,47.29349409015477,10,0.0,9.0,1.072869980369667,1.0,0.3047783172555632,1.0,93.64889655682032,MG21,5.212201069151088,1.9617481598570936,0.5198875831691074,2_KEEP_MISSING_INDICATOR,47.3% null; fraud rate 5.21% if null vs 1.96% if present (3.3pp gap). Use block-level indicator (MG21).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V8,V,double,279287,47.29349409015477,9,0.0,8.0,1.0277041506427247,1.0,0.1860690655891218,1.0,97.49817672440103,MG21,5.212201069151088,1.9617481598570936,0.5079645898565278,2_KEEP_MISSING_INDICATOR,47.3% null; fraud rate 5.21% if null vs 1.96% if present (3.3pp gap). Use block-level indicator (MG21).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V9,V,double,279287,47.29349409015477,9,0.0,8.0,1.0415289169903583,1.0,0.2263383651171559,1.0,96.26413239390465,MG21,5.212201069151088,1.9617481598570936,0.5268842239047532,2_KEEP_MISSING_INDICATOR,47.3% null; fraud rate 5.21% if null vs 1.96% if present (3.3pp gap). Use block-level indicator (MG21).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V10,V,double,279287,47.29349409015477,5,0.0,4.0,0.4639152072429824,0.0,0.5215212462318528,0.0,54.70822771186141,MG21,5.212201069151088,1.9617481598570936,0.3610113066692461,2_KEEP_MISSING_INDICATOR,47.3% null; fraud rate 5.21% if null vs 1.96% if present (3.3pp gap). Use block-level indicator (MG21).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V11,V,double,279287,47.29349409015477,6,0.0,5.0,0.4789865479208232,0.0,0.5524298890050378,0.0,54.50003694743504,MG21,5.212201069151088,1.9617481598570936,0.3614536278370744,2_KEEP_MISSING_INDICATOR,47.3% null; fraud rate 5.21% if null vs 1.96% if present (3.3pp gap). Use block-level indicator (MG21).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V12,V,double,76073,12.881938564703493,4,0.0,3.0,0.5597113128733233,1.0,0.5105325056972787,1.0,54.62021859516742,MG11,5.109565811786047,3.260850550181061,0.4200993060296751,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V13,V,double,76073,12.881938564703493,7,0.0,6.0,0.5991657385216156,1.0,0.5321845771144652,1.0,55.91106912591089,MG11,5.109565811786047,3.260850550181061,0.4229994262526761,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V14,V,double,76073,12.881938564703493,2,0.0,1.0,0.9995004538677894,1.0,0.0223449454211106,1.0,99.95004538677894,MG11,5.109565811786047,3.260850550181061,0.5001349558441138,4_DROP_LOW_INFO,"Near-constant (99.950% one value); only 257 minority rows. Its missingness is captured by the block indicator, not by this column.",Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V15,V,double,76073,12.881938564703493,8,0.0,7.0,0.1223421521691381,0.0,0.3324214228886848,0.0,87.87249716697086,MG11,5.109565811786047,3.260850550181061,0.6634738671803461,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V16,V,double,76073,12.881938564703493,15,0.0,15.0,0.1234598137489868,0.0,0.3428407175258282,0.0,87.86802652065147,MG11,5.109565811786047,3.260850550181061,0.6634654033207565,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),V15
ieee,V17,V,double,76073,12.881938564703493,16,0.0,15.0,0.1340396954517977,0.0,0.3644561158718156,0.0,87.04601072566365,MG11,5.109565811786047,3.260850550181061,0.6601225297719097,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V18,V,double,76073,12.881938564703493,16,0.0,15.0,0.1353633955141923,0.0,0.3717629420904666,0.0,87.03998507192881,MG11,5.109565811786047,3.260850550181061,0.6602874237630906,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),V17
ieee,V19,V,double,76073,12.881938564703493,8,0.0,7.0,0.8163711180697693,1.0,0.425511458953949,1.0,78.8515103981402,MG11,5.109565811786047,3.260850550181061,0.5330923117716796,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V20,V,double,76073,12.881938564703493,15,0.0,15.0,0.8478425243990382,1.0,0.4594501275229632,1.0,78.12532193512898,MG11,5.109565811786047,3.260850550181061,0.5398207058009817,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V21,V,double,76073,12.881938564703493,6,0.0,5.0,0.1296837309292918,0.0,0.3390593360370106,0.0,87.12317796865494,MG11,5.109565811786047,3.260850550181061,0.6573316749256412,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V22,V,double,76073,12.881938564703493,9,0.0,8.0,0.1322922558686951,0.0,0.3594144140365553,0.0,87.11637481121238,MG11,5.109565811786047,3.260850550181061,0.6573546577292794,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V23,V,double,76073,12.881938564703493,14,0.0,13.0,1.0347913471612369,1.0,0.2476803721061745,1.0,96.94771481941504,MG11,5.109565811786047,3.260850550181061,0.5466745657363683,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V24,V,double,76073,12.881938564703493,14,0.0,13.0,1.058097020800168,1.0,0.3054847435537693,1.0,94.948364035011,MG11,5.109565811786047,3.260850550181061,0.547084540604985,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
ieee,V25,V,double,76073,12.881938564703493,7,0.0,7.0,0.977660374717912,1.0,0.1852447392362986,1.0,96.65168028270035,MG11,5.109565811786047,3.260850550181061,0.5009623976187748,1_KEEP_IMPUTE,12.9% null; missingness weakly informative (1.8pp).,Vesta-engineered feature (masked: ranking/counting/entity relations),numeric (count/flag-like),
